Equivar_Z11,DFPT_Z11,Equivar_Z22,DFPT_Z22,Equivar_Z33,DFPT_Z33
5.753406047821045,5.761597633361816,5.507641315460205,5.529503345489502,5.259292602539063,5.269101142883301
5.286188125610352,5.285646438598633,5.468565464019775,5.465859889984131,5.698662281036377,5.717256546020508
2.6933751106262207,2.674786329269409,2.4155781269073486,2.4020907878875732,2.7863802909851074,2.810256242752075
2.416046142578125,2.4114134311676025,2.694505453109741,2.7097320556640625,2.4864468574523926,2.4923534393310547
2.404642105102539,2.4476161003112793,2.7522501945495605,2.761957883834839,2.582188129425049,2.559056282043457
-1.7852290868759155,-1.778175711631775,-3.7075910568237305,-3.6806890964508057,-2.813774824142456,-2.861924648284912
-3.118699550628662,-3.1114213466644287,-1.9960763454437256,-2.0011115074157715,-3.0756635665893555,-3.062223196029663
-2.3973701000213623,-2.459183931350708,-3.920653343200684,-3.869271755218506,-2.043379068374634,-2.069821834564209
-1.897324562072754,-1.8875675201416016,-4.440413475036621,-4.491642951965332,-1.885508894920349,-1.900780200958252
-3.155687093734741,-3.175191879272461,-1.9382641315460205,-1.9011478424072266,-3.028154134750366,-3.039982557296753
-1.6947444677352903,-1.668381929397583,-4.583635330200195,-4.623950958251953,-2.06791615486145,-2.049858570098877
-3.118699550628662,-3.1114213466644287,-1.9960763454437256,-2.0011115074157715,-3.0756635665893555,-3.062223196029663
-3.197312116622925,-3.18971848487854,-2.0183119773864746,-2.0372109413146973,-3.2090651988983154,-3.207623243331909
-3.0833630561828613,-3.092780113220215,-2.247360944747925,-2.2307534217834473,-3.036797046661377,-3.031142234802246
-3.197312116622925,-3.18971848487854,-2.0183122158050537,-2.0372109413146973,-3.2090651988983154,-3.207623243331909
-3.0833630561828613,-3.092780113220215,-2.247360944747925,-2.2307534217834473,-3.036797046661377,-3.031142234802246
-3.155687093734741,-3.175191879272461,-1.9382643699646,-1.9011478424072266,-3.028154134750366,-3.039982557296753
3.213686466217041,3.2775821685791016,3.1381278038024902,3.0426900386810303,3.486538410186768,3.4923551082611084
5.413356304168701,5.386810779571533,5.506213188171387,5.527595520019531,5.691850662231445,5.702075481414795
5.665165901184082,5.673256874084473,5.519716739654541,5.517169952392578,5.392341136932373,5.403078079223633
5.665165901184082,5.673256874084473,5.519716739654541,5.517169952392578,5.392341136932373,5.403078079223633
5.413356781005859,5.386810779571533,5.506213665008545,5.527595520019531,5.691851139068604,5.702075481414795
2.4283580780029297,2.430760383605957,2.3859689235687256,2.3981857299804688,2.495001554489136,2.5059421062469482
2.4196407794952397,2.430760383605957,2.3868889808654785,2.3981857299804688,2.497292995452881,2.5059421062469482
-1.7718371152877808,-1.7875404357910156,-4.1008620262146,-4.110965251922607,-2.0266599655151367,-2.0340816974639893
-3.0710582733154297,-3.0680854320526123,-1.831952214241028,-1.8370591402053833,-2.992315530776977,-2.9838955402374268
-1.7675557136535645,-1.7875404357910156,-4.105419635772705,-4.110965251922607,-2.0185816287994385,-2.0340816974639893
-1.7496927976608276,-1.7658010721206665,-4.119893550872803,-4.12191915512085,-2.0156378746032715,-2.018270969390869
-1.7635371685028076,-1.7658010721206665,-4.12910795211792,-4.12191915512085,-2.0201210975646973,-2.018270969390869
